skip,start_pos(1-indexed),length,coprime,decrypted_or_empty
61,61,140,Y,PGDEMWTKQQTHMEVFDUNWOFTNMSQZTZTVETERNTSHDMUILGEGFTWTVBHMGQCZPMZLDQLDCUJEVOAGEGTHMDFTNLEZFWIMMYODEQPBEXYKEGSCIDTTRZALUNYLFUFDRDFTKODHTLQRTENV
67,67,140,Y,DWQHVUONQZERSMLGWBGZZQCEAGMTEWMDPXECTZULFDKHQEPETQMFNFMZTTNHUGFTHQPLLUVGTDNZIYEBYGITANFDFOTRNGMKTEDWTSTVETDIETVMCMDDJOEHFLFMOQEKSDRLYURTDLTV
69,69,140,Y,QUQRLBZEMWPCUDQEMFTHFQLGNYYTFONKDSEIVMJHFQSLRLDHOZSGGQATMXTLKETFMTUTPUTZEGADTGTWTTEMDOFMEDYTTWVNEMWZCGEDEZFHPQNZNGHLVDIBINFRMETVDTCDELOKRUDV
71,71,140,Y,DURKOLEDCTDVTEMRFNIBIDVLHGNZNQPHFZEDEGCZWMENVWTTYDEMFODMETTWTGTDAGEZTUPTUTMFTEKLTXMTAQGGSZOHDLRLSQFHJMVIESDKNOFTYYNGLQFHTFMEQDUCPWMEZBLRQUQV
73,73,140,Y,TLDTRUYLRDSKEQOMFLFHEOJDDMCMVTEIDTEVTSTWDETKMGNRTOFDFNATIGYBEYIZNDTGVULLPQHTFGUHNTTZMFNFMQTEPEQHKDFLUZTCEXPDMWETMGAECQZZGBWGLMSREZQNOUVHQWDV
79,79,140,Y,NETRQLTHDOKTFDRDFUFLYNULAZRTTDICSGEKYXEBPQEDOYMMIWFZELNTFDMHTGEGAOVEJUCDLQDLZMPZCQGMHBVTWTFGEGLIUMDHSTNRETEVTZTZQSMNTFOWNUDFVEMHTQQKTWMEDGPV
81,81,140,Y,EMTDNGTCCZDMVEAGNEPZOUFIMGLZKWWHROEREQNLMMDKDSFZFQTEELOMDNTHPXZNRLEKIUTHMBVLETNBPFFTLWSDTOITMZARTQCWFDUEEQQTFTTTVTQDGUYHDGYLMDEGQDJVTYHFUGSV
83,83,140,Y,SODKADFFFWGNDQDVNGVHTZMGVUFMTOELTEEESWRHEEFZHFKDZZTKJTMTTGMLEBOTOMTRYUNETGLHYLVWFYPZQXCRDDEITNNTNDMZQLEDEGIGUQUTWURMCSTBLTPCAMQLFTDDIQMHPQEV
87,87,140,Y,FGFEHTOEFDMGCMMKDZEHZGTHQNETLTEFNUEZJBNWDDIMAQDNTORDTMLZTLUBFQFVVEFKEUVRNGRCIOGHTWKTOGPIQQTLPDDGTETLYLCTEUPDSWVMSFMTTYEZUSQHAQMLEZMRYXNDWTDV
89,89,140,Y,TQELMTZMFQSDEDVIVXDWFGSRMBFTPZCZUWELMUTHCQFFLOYHOTTCTSHTRGTZFNTRDYFHDUPTDGAKTFWHIEQMNZDVPWYKNQODMMJBKUEGELTTMDNZGLAEEMILQTLDREUEEONGEGQNVDTV
