skip,start_pos(1-indexed),length,coprime,decrypted_or_empty
53,53,140,Y,AZGQKSNITNFHSTTOHGGAMYOKMOYCAJIEIUDUWEVFOVLTEFPOQMEWNAVMTLOYUYEKDELHNRBIMDNOIAPKVTRLMKVYGGRDNNQWHTBEOALEMGRHDRJQTDGTDQULPLRKOTJPGVUGALIGPOEJ
57,57,140,Y,DAPOONEEARPOHTQKIZJKQGJWDUGQVMGPHEDQTTEAGTLUKDRWMVBHWSGLNYUENENTMAOGORVIDKVKAABFTQVMMLLIONUYTOIEMVFLGLYGMDLHPGOCPGNTSLRYAOROETRDUJEHIFTKNYIJ
59,59,140,Y,YAVHIYQOLVHTBTOHVENLNUUYGZAMRRPKEAMGGFMEJTOHQLTUEGDQILMQEONKRLMONAGOLRHKFEDDUSIYVDACVTDGOMIEUGEIBTSFLNPIDYGTGJTLJOMWPGAAPDOPTVNWRNWKRQKEOKTJ
61,61,140,Y,IEBGMLRKHMRTTVNHAULEAOODOGELDNLODZDHOLYYNTGWMQFTIRGUNAICUNJANKUHEAJQWRLGAYQPMAVLSFPQKEBEPJEWGYVYPTPKTSVIMOIKHVOMGLTOVDNFMGEEDTUKTGROQTGIODRJ
67,67,140,Y,BLHTNUADENDHYTMTGAUAUAWGQASQBJGYPSMKOLVFETTOGDIGRMTHLOOLLZOYGQIUINNHJRAPVFKEEYPKVOHMTDMEUGQIREMKRVAEOGDODLNWFRNCJKEQLYMLPEPWVTTIIVGONGDKRTOJ
69,69,140,Y,HUEHMAUGSJPKVTGGTOLYINJPKYVMMGRKAGDWNKLLPTIODTBTANYTUAQQGSOFTDRHOZGUNRVEPOTEQEREDLFCEYPWTVNKOLNDDTGAWABYMLEOIMLLOQIHAFEKHDUIMVOONRJQMEVIGGRJ
71,71,140,Y,RGGIVEMQJRNOOVMIUDHKEFAHIQOLLMIOELMYBAWAGTDDNLOKNVTWPYECFLDEREQETOPEVRNUGZOHRDTFOSGQQAUTYNATBTDOITPLLKNWDGAKRGMMVYKPJNIYLOTGGTVKPJSGUAMHEUHJ
73,73,140,Y,OTRKDGNOGVIITTVWPEPLMYLQEKJCNRFWNLDODGOEAVRKMERIQGUEMDTMHOVKPYEEKFVPARJHNNIUIQGYOZLLOOLHTMRGIDGOTTEFVLOKMSPYGJBQSAQGWAUAUAGTMTYHDNEDAUNTHLBJ
79,79,140,Y,RDOIGTQORGTKUTDEEGMFNDVOTLGMOVHKIOMIVSTKPTPYVYGWEJPEBEKQPFSLVAMPQYAGLRWQJAEHUKNAJNUCIANUGRITFQMWGTNYYLOHDZDOLNDLEGODOOAELUAHNVTTRMHKRLMGBEIJ
81,81,140,Y,TKOEKQRKWNRWNVTPODPAAGPWMOJLTJGTGYDIPNLFSTBIEGUEIMOGDTVCADVYISUDDEFKHRLOGANOMLRKNOEQMLIQDGEUTLQHOTJEMFGGMAEKPRRMAZGYUUNLNEVHOTBTHVLOQYIHVAYJ
83,83,140,Y,IYNKTFIHEJUDRTEOROAYRLSTNGPCOGPHLDMGYLGLFVMEIOTYUNOILLMMVQTFBAAKVKDIVROGOAMTNENEUYNLGSWHBVMWRDKULTGAETTQDEHPGMVQGUDWJGQKJZIKQTHOPRAEENOOPADJ
87,87,140,Y,EOPGILAGUVGPJTOKRLPLUQDTGDTQJRDHRGMELAOEBTHWQNNDRGGYVKMLRTVKPAIONDMIBRNHLEDKEYUYOLTMVANWEMQOPFETLVOFVEWUDUIEIJACYOMKOYMAGGHOTTSHFNTINSKQGZAJ
89,89,140,Y,DNBOMZUWMMYQPTNWASREIAIIOAPMINJEVLDHGGRYWTUHMYVOARVKOGIQGELAPDRHEYETNRPKAQQIQOGLHDECKLBONJNKOAVETTLKTUFPMTOUSVRLUETGDKEFHLJYDVGGTGLTMOGDNFOJ
93,93,140,Y,PARKEONPDGBWITITHAOFMZREMEPCTVJDMADOPQBKUVOQOGVHQJFGTNNMWGELOTETMSJHGREESLGWILVAALLLDFYIGRRINUTGDTPYOYGKMKLOANUQNDVUHOUEVYLKKTRYNMIHADQOTEGJ
97,97,140,Y,GQRWMDEWOJGIPTGENTBYQEYOKLRQOGPHTFDKSZULDTVODALEMNEPDGQLMYEFAGNGODLDVROOWOTQALJEGALMEUOHAVUHHKNKNVIATOJTMNRIUMVCHSIKTARKNLPUMTGGPRBYIEVTIYFJ
99,99,140,Y,LLUPVLQTLRWEITMDGKSKNDAHIYGMRMDTJEMEBONAVTVINZNGEVTKEQEQVGIEYNMYTTTOGRPKULOWUFTFRUOCQYGORNIQBODGOTNLPDOHDAAWOGHLFAKIEEAYJAPOGVDULJHKRGMHPSMJ
101,101,140,Y,SOVWDAREDVGOAVVHVNRLASGEELBLHRRGTYDOUDVETTEHMEEKIGLTGZTCOALKNGUGKGITTRRWDLIIMUPYMKBQOOFKWMEOGAGPATYFNEPDMQUQHJLMNTQHPLNAIFOIMTJKPNOUQYNYODJJ
103,103,140,Y,ULTEQKIHOMOEOTKGJQDERTMKVFWCGNAGRDMWVANYEVIKTSPPURODRDDMPEAAFZAKGGHYPRUWLUMONOGLJANLNETOVJMHGLOTRTGKBYNTDOHIEVPQLNMOLLQFIYSQITDHBGVIEAEUYGTJ
107,107,140,Y,PGHUGAAIFGAHPTDQRYOFULPOTNIQEVNIVOMTRYAKGTWTVLMHRJDOJEKLOAOLOOIOQUTWURTYYGEKEZVABEDMIDSDIRQPLSMKLVPYEAHWDDNGBNGCRFOKGTMEVQTGNTNEJMGHNKMELLUJ
109,109,140,Y,TDIYKYUUNNLKOTTIGFLAILEHMTEMTJVQUQDDTERFHTBPEAGOAMRKVOVQAKGYDURIDLVWSRJTOGNGQGOKPAJCMZOTIGNKPEQHNTLEHDUOMYPGNRYLALGEGSELWNFHOVBOMVPEMAIWDORJ
111,111,140,Y,GSTHTGMKYJIUVVEOEATYEENINAVLVGNWBAMHJDDLRTGGIOAQNNSOGYMCIUWFLFQWVLUKLRMOPTMYRNHELGDQGQPKJVAGEZKIFTHAOOAEDEOTPMNMOYDHBDIKRKGDQTOERRTTULOPULPJ
113,113,140,Y,VYLTOENYAREGMTQUDLEKMALKDSVCDMUISNDTTOPAOVRKKKYHQVBHNUGMPAGEOLEQMOROGRFDIDVGIGBFPYGLMGPPNNRETAIOHTVLUZRKMFJHTGIQNLNOHEUYATOEETLIGJJWADTWWQOJ
117,117,140,Y,GEJOMDEHOMEYWTNKTYFEQOVUODOQUNBOPKDKMYJYTTPGMURIMROIHFILILBADLNWELREPRGHTSQTATILNGRMKNLGVJUHHGVQNVUKAQLOMAGDOVPCDETENZRFGAYTDTLWAGVPIOGKSAEJ
121,121,140,Y,NFEDEORTPGLGGVIYOLVFAKVGMEULWVRUGTDPVUJKITPEOAIKIJROALNCPDYLMOUIMQBKDROTNYGHMDLATEGQDGJKHREODYTHUTRYSGOHMLFETNLMTAVIOANENSBWKTEQHMGWQZQOANPJ
123,123,140,Y,BZMQNSIIPNVHRTMOVGGARYNKQOHCBJOELUMUREDFJVTTGFDOUMPWRAOMJLGYUYAKIEPHERAIGDKONATKFTSLTKHYGGMDONMWYTAEIAIEDGWHVROQLDETPQQLELNKVTTPOVUGELDGLONJ
127,127,140,Y,VADOVNAEBRTOVTMKLZOKUGTWIUMQFMGPYEMQLTPAOTPUNDSWRVAHRSELRYUEEEITTANGIRDIPKOKEAAFPQHMQLIIJNQYJODEGVVLGLHGDDTHEGGCLGKTRLMYBOWOGTNDUJNHNFMKOYOJ
129,129,140,Y,HAFHDYUOIVVTATVHDEOLIUUYEZBMSRLKPADGGFGETTJHMLPUAGPQOLTQNORKWLROKAOOTRYKVEIDQSLYHDBCOTVGNMNEUGGIATRFPNEIMYGTMJJLOOQWTGEADDIPMVEWNNRKMQNEGKLJ
131,131,140,Y,LEAGQLMKVMSTPVKHBUPEEOGDVGPLPNTOVZMHILHYOTGWTQVTNRMUEADCUNTARKQHGAOQRRIGBYMPRAHLRFTQNEAELJAWOYOYETDKLSDIDOOKYVNMGLMOFDIFGGNEITUKJGNOUTEIJDWJ
137,137,140,Y,ALVTKUEDPNVHHTTTMAUAQARGMARQAJOYDSDKNLFFNTJOEDLGMMPHPOVLTZIYGQNUDNRHORBPHFNEAYEKDOYMMDGEUGUIWEQKSVBEGGPOMLOWVRECTKGQIYRLTELWOTLIOVGOIGIKNTJJ
139,139,140,Y,VUPHTAQGRJDKFTEGPOTYNNOPNYDMGGWKBGMWEKILLTOOITATENHTUAMQOSNFJDMHVZGURRHEEOMEUESEPLVCGYTWLVIKJLKDVTMARAAYDLNOLMPLIQDHBFAKYDUIQVGOORTQREOIGGNJ
