skip,start_pos(1-indexed),length,coprime,decrypted_or_empty
1,1,140,Y,NGGIOERQTROOGVQIUDYKAFBHDQILPMLONLDYAARAMTVDKLJKIVLWTYGCVLPESEUEMOEEHRRUGZVHMDJFNSOQMAUTHNETATIOOTLLIKEWMGBKWGGMDYNPONNYTOPGETFKDJRGQATHPUVJ
3,3,140,Y,JTNKIGIOGVOILTOWLETLRYIQGKTCERVWOLMOPGGEBVSKQEWIUGUEGDMMYODKEYAENFHPBROHRNDUNQGYIZTLVOPHPMMGLDEOJTNFFLNKDSDYOJAQRAMGRAQAUAMTTTHHVNPDEUKTVLAJ
9,9,140,Y,WDJIETUONGJKUTIENGGFIDFOMLGMNVYKOODIDSLKDTEYOYOWAJLEAENQTFRLHARPMYBGIRRQOAGHQKRATNUCDAEUMRNTVQTWGTOYHLIHMZVOTNPLPGVDGOEEPUBHKVPTSMVKMLQGAELJ
11,11,140,Y,LKGENQMKRNNWEVMPIDDAEGTWQOOLJJMTGYMIENPFRTAIGGUENMNGVTOCBDHYLSQDIEVKYRTOOAKORLWKRONQTLOQPGAUPLMHJTTEGFGGDAPKLRSMBZEYUUILOEDHVTATVVIOUYDHFAHJ
13,13,140,Y,OYOKMFNHNJUDNTGOWOBYMLRTKGLCGGEHTDDGHLGLVVGEDOJYQNJIILQMHQPFAAEKOKPIDRIGNATTIEEEUYRLESRHAVRWSDNUPTOAPTLQMEYPGMFQMUIWTGUKOZLKMTVOTRBEANVODAVJ
17,17,140,Y,NOLGDLEGUVOPTTVKNLELQQPTEDLQORVHWGDEIAIEATYWMNODMGGYHKTLSTFKTANOKDGIAREHPEIKAYUYGLJMOARWPMUODFGTTVJFDERUMULEOJBCHOQKNYRAGGVOMTRHVNPIISNQMZBJ
19,19,140,Y,PNAOQZQWGMHQETKWBSNENAOIVATMLNTEFLMHOGSYRTUHTYDOERHKJGDQGETALDMHGYNTORDKBQMIUOMLYDPCNLAORJIKIAOEPTIKJUVPDTGURVWLUEMGVKAFVLOYIVGGLGPTROEDEFNJ
23,23,140,Y,EASKGOIPVGAWLTDTYAGFRZNETEDCPVODGAMOLQAKUVNQVGHHUJVGLNKMRGNLITATQSTHGRPERLEWNLDABLILIFHIORMIRUMGPTTYJYMKDKPOBNUQODOUVOQEFYTKNTWYEMOHEDMOJEGJ
27,27,140,Y,OQWWTDAWJJGILTEEOTAYUEHONLNQIGTHJFMKRZULVTHOIATERNNPPGMLGYPFBGIGVDIDFRGOROMQELOEGAPMGUNHBVQHYKKKRVOAPOTTDNSIUMDCVSDKLAMKELDUQTMGERAYNEOTLYVJ
29,29,140,Y,PLUPOLUTTRREOTQDGKRKIDBHDYOMNMPTOEDEAOOAHTFIKZEGAVJKPQGQDGLEHNRYMTPOMRLKULVWQFLFWUICMYGOSNNQAOIGGTRLDDJHMABWNGVLVANINEEYTAEOEVVUIJYKMGTHTSGJ
31,31,140,Y,RODWIAMEPVMOBVOHFNWLESGEGLALYRNGPYMOUDHELTNHQEPKNGITOZMCJAPKOGQGNGOTJRSWVLDIRUDYGKAQVOVKRMAOGAEPBTHFRETDDQUQVJTMETMHELIALFGITTOKLNNUUYKYIDTJ
33,33,140,Y,ULLEMKNHGMJENTNGTQVEMTGKOFRCGNBGNDDWHAEYPVLKMSLPQRIDSDIMDEBAVZEKEGYYTRUWTUQOIOOLOAOLKEJODJRHMLVTWTGKAYRTMOVINVEQINTOPLUFOYRQDTPHAGFIAAGUHGPJ
37,37,140,Y,TGYUEAEIVGBHDTIQSYIFQLLOMNLQPVEIHODTNYBKGTRTOLGHMJVOTENLNAJLGONOMULWURPYHGGKAZFAAEPMDDRDORUPPSTKIVEYNAVWMDRGANGCWFVKMTREDQJGKTOEOMOHIKQETLUJ
39,39,140,Y,JDOYNYQUONPKJTMIOFIANLPHQTNMLJHQUQMDPENFYTAPGAGOEMWKFOOQBKMYPUMIILDWRRTTIGKGUGNKLAOCTZGTLGIKEEMHETTEVDUODYTGRRHLBLEEGSALRNVHVVAOGVDERADWVOSJ
41,41,140,Y,MSPHMGRKHJLUDVGOPAJYAEEIKAFLHGOWAADHODPLNTOGDOBQINROGYQCOURFTFUWOLUKPRGOTTTYMNYEIGVQEQEKTVEGNZNIVTVANOBEMEJTDMRMGYIHADNKSKGDMTIEWRLTQLVPULLJ
43,43,140,Y,FYITVEIYBRPGGTMUPLNKRATKISHCVMUIRNMTJOTAIVNKNKHHUVAHOUEMLAGEJLAQTOWOORVDLDOGNGAFEYMLQGDPENMELADOVTDLUZSKDFTHPGOQRLKOYEQYBTNEGTPIGJOWEDMWRQGJ
47,47,140,Y,GETOQDAHIMNYRTKKLYVEUOHUVDNQUNAOLKMKGYOYPTDGTUNIRRGIYFDLLLAAVLIWGLSEERGHJSMTETOLEGWMNNTGFJQHVGOQOVUKBQPODAMDJVTCPEMERZMFOAHTITIWBGDPNOEKRAPJ
51,51,140,Y,OFNDGOMTLGTGGVDYJLHFEKDGTEULRVSUOTMPFUTKLTTEVAOKNJNOBLKCEDHLGOQIQQAKPRNTEYEHRDPALEGQIGOKVRAOVYMHUTWYRGGHDLVEJNIMPAOIIAIERSAWNTPQYMMWUZMOBNDJ
